a, -8.979536, 12.210185, -4.010027, 51.275486, 60.738884, 63.456963, 65.62183, 9.977489, 20.466845, 27.262909, 15.190725, 24.545485, 15.889075, 60.437096, 80.454544, 0.024982523, 106.90342, 30.264479, 72.8613, 132.15535, 63.500416, 30.121847, 72.86088, 123.46324, 59.515068, 29.2548, 64.60288, 120.147095, 67.868774, 29.559284, 64.61819, 115.22341, 63.897655,
y, 4.051616, 1.7307007, 0.30680034, 98.02147, 108.07894, 117.69805, 164.95805, 10.294605, 21.980139, 116.684074, 13.573734, 116.521996, 108.88051, 5.656459, 58.10818, 0.019597974, 118.10166, 26.878399, 58.53818, 145.40253, 77.18215, 27.003492, 58.269897, 136.38045, 77.18587, 27.665745, 58.02328, 133.98053, 72.670525, 11.04084, 12.92831, 96.26303, 129.62126,
v, 0.92654544, 12.09232, -12.259095, 87.77325, 100.18016, 60.130188, 73.58202, 45.98532, 124.50234, 129.48701, 126.3239, 125.19954, 19.068413, 36.82287, 124.733765, 0.04851933, 112.208145, 2.0486033, 2.7096412, 108.07173, 165.45941, 2.6192634, 3.4932804, 100.78331, 169.31012, 41.34397, 86.80071, 148.53264, 56.101475, 40.717907, 87.35794, 154.20654, 54.71361,
d, 75.13651, 0.18701465, 3.5919728, 78.76962, 29.386543, 59.606735, 33.06907, 106.540886, 46.40377, 93.11245, 88.29648, 42.047596, 64.10269, 10.433039, 120.95557, 0.0, 102.6406, 10.430419, 13.55021, 101.8424, 150.17242, 15.567049, 35.490643, 134.95111, 92.36133, 21.824085, 29.756653, 109.99103, 136.81564, 28.843966, 59.149887, 124.85837, 82.72338,
p, 18.891712, 1.7328955, -16.049294, 62.685608, 44.958626, 36.78775, 22.992996, 32.632477, 38.455143, 75.19661, 12.195979, 56.54815, 45.23292, 41.915005, 134.2101, 0.070379764, 96.513985, 2.749419, 4.31252, 142.68442, 145.75426, 3.7194946, 6.626204, 157.66478, 139.1577, 3.3476722, 6.0577064, 161.756, 129.48358, 26.96924, 48.36527, 155.1391, 88.87417,
k, 100.926506, -46.462612, -8.492448, 43.833855, 44.973072, 75.871216, 77.35265, 53.128998, 115.06278, 113.95035, 79.060356, 79.14773, 16.124596, 3.5994716, 131.62117, 0.060140893, 116.39199, 5.979726, 8.998321, 132.66508, 156.77115, 14.430263, 25.704617, 132.1543, 134.7153, 25.67148, 61.38163, 108.91449, 62.96914, 24.766285, 58.997032, 107.96027, 61.194023,
o, -56.930496, 17.968012, -33.63994, 21.459887, 12.253633, 22.138166, 23.33522, 30.588161, 40.256077, 43.399265, 20.801811, 24.509253, 19.217983, 78.45407, 87.6738, 0.029707456, 91.53849, 34.33961, 64.833084, 90.77245, 107.82303, 36.62341, 74.15874, 82.114105, 81.87517, 17.477179, 38.498486, 77.558235, 91.96261, 16.954485, 36.819145, 74.66863, 85.00308,
f, -2.1329439, 13.823534, -20.431248, 25.143538, 116.53741, 129.90736, 138.10847, 114.928474, 125.60871, 128.71077, 35.08398, 83.977905, 52.831078, 54.921993, 128.5447, 0.06803202, 110.45521, 30.777538, 52.074085, 135.5836, 115.793846, 10.641638, 12.327777, 85.673325, 172.5307, 8.914329, 10.078199, 77.608475, 163.64221, 9.028469, 10.275575, 66.67609, 142.6104,
c, -59.93539, 13.473418, 12.074061, 69.0526, 78.34976, 85.68728, 88.26309, 18.482594, 35.596565, 49.240337, 19.059334, 38.938587, 24.418325, 17.742443, 53.19516, 0.075556725, 119.62897, 47.519924, 55.52522, 80.72399, 139.93478, 46.91683, 55.801254, 80.64247, 144.76195, 38.75468, 47.901768, 78.650375, 140.00179, 38.43481, 48.16588, 74.393234, 119.68477,
n, -1.2710212, -10.817232, -45.89129, 42.041706, 43.298027, 40.73601, 43.198597, 14.883957, 40.781624, 55.3095, 29.645378, 47.558456, 20.756603, 27.128113, 149.37115, 0.12773366, 103.38439, 41.180363, 55.372707, 142.12065, 128.56094, 42.09036, 55.710716, 141.50955, 133.76648, 44.553288, 58.040356, 133.31589, 123.24141, 43.754063, 57.92912, 133.45468, 107.55002,
u, 8.717308, 16.494753, -12.462234, 80.10604, 78.44891, 27.165737, 22.922619, 34.513245, 97.69955, 102.6394, 99.01997, 100.811775, 20.611849, 34.624218, 101.72178, 0.04947246, 101.203316, 4.6799045, 6.3337154, 105.43171, 162.31255, 6.492331, 8.72644, 101.60873, 167.87164, 26.03796, 47.992844, 141.30672, 102.77638, 25.270247, 48.2348, 144.455, 88.54474,
q, -172.42755, -125.134865, -148.09813, 64.763306, 43.684044, 58.554287, 66.494064, 97.43343, 107.56234, 106.73822, 17.590532, 33.344864, 18.801092, 5.077927, 115.93616, 0.10268625, 120.29257, 11.763987, 16.31157, 122.55129, 158.84526, 18.012936, 39.214672, 68.8514, 100.89664, 17.259895, 38.882492, 68.39992, 89.33616, 17.40395, 39.388084, 76.09756, 79.50796,
h, 135.74762, -23.7452, -46.650284, 72.173096, 69.67919, 54.087265, 52.72505, 28.377241, 118.776955, 119.540955, 122.38427, 120.90397, 15.392357, 9.991316, 141.0208, 0.1051566, 99.55574, 1.833622, 2.623408, 124.955956, 158.56592, 1.4980346, 2.188454, 123.81487, 164.06206, 36.404877, 82.046364, 78.38665, 52.111042, 35.05108, 82.04432, 75.181656, 49.134895,
m, 1.336157, 10.223641, 15.363658, 12.65242, 7.465497, 34.049526, 38.372395, 16.763662, 44.663486, 47.712906, 29.594364, 31.545532, 20.032465, 42.26239, 102.52625, 0.019632442, 105.318146, 51.105103, 76.80667, 115.52859, 104.4002, 51.14194, 77.07074, 109.22392, 103.16298, 28.909508, 44.39028, 107.94208, 121.57726, 27.46796, 43.15258, 109.21965, 105.82658,
n, -11.4966545, 16.276106, -4.316635, 24.28247, 34.67496, 55.496944, 57.590126, 14.638223, 42.084183, 50.72553, 33.885, 42.67726, 17.838232, 49.845207, 105.64896, 0.030776594, 100.35273, 34.86058, 58.58886, 126.81581, 107.18221, 34.693417, 58.90559, 120.085045, 106.62687, 22.740551, 48.683243, 135.70598, 83.11338, 21.898014, 48.800594, 140.6317, 71.54274,
f, 12.3431015, 31.483362, -21.94449, 26.794107, 112.46097, 119.95106, 127.744644, 110.745926, 113.80322, 116.464615, 29.053307, 71.48078, 43.685177, 96.30331, 118.763176, 0.05149904, 94.07915, 29.92696, 59.356766, 141.38048, 92.80109, 4.8379655, 6.5148363, 95.12158, 168.00325, 4.306569, 5.7604938, 92.08709, 160.04492, 3.104851, 4.0697265, 83.83146, 141.44788,
e, 13.577524, 5.898643, -15.176181, 29.884214, 41.829838, 64.450745, 75.05347, 19.506084, 40.47502, 56.75929, 22.814135, 39.96026, 30.043928, 10.384158, 127.33088, 0.0649562, 115.21746, 45.42304, 59.39696, 115.60822, 130.08076, 45.088326, 59.706062, 114.99434, 131.30745, 12.416464, 18.178782, 128.90388, 144.98627, 11.813709, 17.151897, 121.62259, 126.911865,
q, -6.3566446, -14.801526, -2.896163, 44.10595, 46.04649, 57.852882, 67.33206, 87.80338, 98.132126, 103.89533, 16.32678, 33.495018, 18.332823, 0.24501923, 125.92885, 0.009564625, 111.52602, 6.37888, 9.977879, 130.36502, 148.50638, 41.512028, 84.578964, 128.2218, 67.34337, 40.697605, 84.61207, 127.21045, 57.09489, 40.577, 84.59692, 120.174286, 56.474625,
v, 2.3645794, 1.9036616, -2.0517583, 91.48529, 91.9283, 45.222404, 53.094105, 61.9917, 122.41504, 128.51369, 122.44563, 119.52936, 19.291563, 31.46513, 114.99056, 0.033637885, 107.1447, 2.19413, 2.8808918, 114.899376, 167.20131, 2.289609, 2.9963155, 100.10329, 169.9745, 44.266277, 86.67517, 146.94191, 62.911034, 44.872807, 86.648445, 148.41338, 62.67777,
j, 106.777565, -47.117756, 13.081014, 27.245335, 19.243486, 80.92849, 79.72032, 10.090721, 92.34109, 97.44246, 92.19832, 93.90095, 40.311, 95.014755, 128.73378, 0.0041626617, 81.02125, 44.03325, 85.399826, 113.71939, 76.940315, 43.97245, 85.64301, 112.22902, 72.654625, 3.397401, 5.3110623, 132.72443, 149.77328, 2.3798087, 3.5703673, 145.00989, 134.78384,
